Order_ID,Order_Timestamp,Day_Type,Restaurant_Type,Weather,Order_Value,Delivery_Time_Mins,Customer_Rating,Order_Hour
ORD-100027,11/03/2025 22:00,Weekday,Italian,Clear,86.14,33,5,22
ORD-100028,27/05/2025 13:00,Weekday,Healthy/Vegan,Cloudy,56.75,21,5,13
ORD-100029,09/05/2025 20:00,Weekday,Healthy/Vegan,Rain,36.95,36,4,20
ORD-100030,24/05/2025 19:00,Weekend,Fast Food,Clear,42.39,24,5,19
ORD-100031,09/01/2025 18:00,Weekday,Italian,Rain,103.9,51,1,18
ORD-100032,10/06/2025 17:00,Weekday,Healthy/Vegan,Clear,31.97,20,5,17
ORD-100033,22/04/2025 18:00,Weekday,Italian,Storm,44.81,39,5,18
ORD-100034,12/06/2025 22:00,Weekday,Fast Food,Clear,16.9,28,4,22
ORD-100035,28/05/2025 17:00,Weekday,Italian,Rain,74.67,46,4,17
ORD-100036,29/04/2025 15:00,Weekday,Indian,Clear,110.14,16,4,15
ORD-100037,07/04/2025 21:00,Weekday,Fast Food,Clear,90.86,33,5,21
ORD-100038,18/02/2025 10:00,Weekday,Healthy/Vegan,Cloudy,115.16,20,4,10
ORD-100039,06/02/2025 17:00,Weekday,Indian,Clear,116.5,17,5,17
ORD-100040,26/04/2025 22:00,Weekend,Indian,Clear,43.19,23,5,22
ORD-100041,23/02/2025 19:00,Weekend,Italian,Clear,25.2,39,4,19
ORD-100042,07/05/2025 20:00,Weekday,Sushi,Cloudy,92.78,15,4,20
ORD-100043,25/06/2025 16:00,Weekday,Indian,Clear,59.08,32,5,16
ORD-100044,13/01/2025 21:00,Weekday,Sushi,Clear,80.93,34,5,21
ORD-100045,24/05/2025 21:00,Weekend,Italian,Clear,54.44,27,5,21
ORD-100046,20/02/2025 18:00,Weekday,Sushi,Clear,45.09,31,4,18
ORD-100047,11/03/2025 15:00,Weekday,Italian,Clear,69.84,26,5,15
ORD-100048,13/04/2025 13:00,Weekend,Indian,Clear,58.19,28,4,13
ORD-100049,24/05/2025 22:00,Weekend,Sushi,Clear,48.91,43,4,22
ORD-100050,02/04/2025 19:00,Weekday,Sushi,Clear,116.08,23,5,19
ORD-100051,09/05/2025 19:00,Weekday,Sushi,Clear,41.28,30,4,19
ORD-100052,27/04/2025 10:00,Weekend,Indian,Rain,73.21,52,1,10
ORD-100053,27/03/2025 18:00,Weekday,Indian,Clear,19.83,31,4,18
ORD-100054,24/05/2025 19:00,Weekend,Sushi,Clear,64.71,24,4,19
ORD-100055,10/01/2025 15:00,Weekday,Indian,Cloudy,42.39,24,5,15
ORD-100056,06/04/2025 10:00,Weekend,Indian,Rain,79.66,52,1,10
ORD-100057,08/05/2025 20:00,Weekday,Healthy/Vegan,Clear,55.76,15,5,20
ORD-100058,28/06/2025 20:00,Weekend,Indian,Rain,101.14,47,4,20
ORD-100059,04/02/2025 16:00,Weekday,Fast Food,Rain,55.47,43,4,16
ORD-100060,25/04/2025 18:00,Weekday,Healthy/Vegan,Rain,51.58,47,4,18
ORD-100061,21/01/2025 22:00,Weekday,Fast Food,Clear,59.46,17,5,22
ORD-100062,05/02/2025 11:00,Weekday,Fast Food,Rain,50.78,40,5,11
ORD-100063,13/01/2025 16:00,Weekday,Fast Food,Clear,54.66,31,5,16
ORD-100064,22/04/2025 18:00,Weekday,Indian,Cloudy,55.87,26,5,18
ORD-100065,27/05/2025 21:00,Weekday,Fast Food,Clear,114.76,34,5,21
ORD-100066,21/04/2025 14:00,Weekday,Indian,Clear,49.51,18,5,14
ORD-100067,24/05/2025 18:00,Weekend,Indian,Cloudy,117.3,42,5,18
ORD-100068,16/03/2025 11:00,Weekend,Healthy/Vegan,Rain,102.88,63,1,11
ORD-100069,21/05/2025 17:00,Weekday,Sushi,Clear,108.65,16,4,17
ORD-100070,14/06/2025 15:00,Weekend,Italian,Clear,105.63,39,5,15
ORD-100071,14/02/2025 13:00,Weekday,Healthy/Vegan,Clear,23.77,26,5,13
ORD-100072,01/04/2025 19:00,Weekday,Sushi,Clear,60.62,27,4,19
ORD-100073,06/05/2025 19:00,Weekday,Healthy/Vegan,Clear,27.34,23,5,19
ORD-100074,11/05/2025 22:00,Weekend,Healthy/Vegan,Storm,54.36,61,2,22
ORD-100075,27/04/2025 15:00,Weekend,Sushi,Clear,116.84,38,4,15
ORD-100076,13/06/2025 12:00,Weekday,Italian,Storm,69.93,33,5,12
ORD-100077,08/06/2025 10:00,Weekend,Indian,Rain,55.34,60,3,10
ORD-100078,12/04/2025 21:00,Weekend,Healthy/Vegan,Clear,32.82,32,4,21
ORD-100079,01/03/2025 11:00,Weekend,Healthy/Vegan,Clear,117.31,44,4,11
ORD-100080,06/06/2025 22:00,Weekday,Italian,Cloudy,114.73,19,5,22
ORD-100081,10/01/2025 17:00,Weekday,Sushi,Clear,32.31,15,5,17
ORD-100082,26/05/2025 10:00,Weekday,Italian,Clear,54.99,31,5,10
ORD-100083,08/04/2025 18:00,Weekday,Italian,Clear,16.44,20,5,18
ORD-100084,05/04/2025 14:00,Weekend,Italian,Clear,95.74,33,5,14
ORD-100085,25/05/2025 14:00,Weekend,Fast Food,Clear,115.18,35,4,14
ORD-100086,23/04/2025 17:00,Weekday,Sushi,Clear,26.92,16,5,17
ORD-100087,03/01/2025 20:00,Weekday,Sushi,Cloudy,72.95,19,4,20
ORD-100088,26/02/2025 10:00,Weekday,Indian,Rain,88.93,49,4,10
ORD-100089,07/02/2025 11:00,Weekday,Sushi,Rain,73.26,57,2,11
ORD-100090,15/06/2025 10:00,Weekend,Healthy/Vegan,Clear,69.98,40,5,10
ORD-100091,18/05/2025 17:00,Weekend,Fast Food,Clear,42.12,25,5,17
ORD-100092,06/05/2025 20:00,Weekday,Italian,Clear,22.97,30,4,20
ORD-100093,28/04/2025 17:00,Weekday,Healthy/Vegan,Clear,51.3,17,5,17
ORD-100094,04/06/2025 22:00,Weekday,Sushi,Rain,38.5,30,4,22
ORD-100095,02/03/2025 15:00,Weekend,Indian,Clear,71.11,40,5,15
ORD-100096,26/06/2025 19:00,Weekday,Indian,Clear,24.69,29,5,19
ORD-100097,25/02/2025 20:00,Weekday,Indian,Clear,106.17,22,5,20
ORD-100098,29/06/2025 17:00,Weekend,Sushi,Rain,70.78,52,1,17
ORD-100099,25/02/2025 12:00,Weekday,Italian,Cloudy,68.73,29,4,12
ORD-100100,18/01/2025 19:00,Weekend,Italian,Clear,26.01,33,5,19
ORD-100101,17/01/2025 16:00,Weekday,Sushi,Clear,39.49,27,5,16
ORD-100102,09/03/2025 19:00,Weekend,Italian,Rain,65.36,52,2,19
ORD-100103,08/01/2025 17:00,Weekday,Fast Food,Clear,54.77,19,4,17
ORD-100104,26/01/2025 11:00,Weekend,Italian,Clear,118.58,32,4,11
ORD-100105,30/05/2025 14:00,Weekday,Healthy/Vegan,Cloudy,24.23,23,4,14
ORD-100106,31/01/2025 17:00,Weekday,Indian,Storm,26.76,29,5,17
ORD-100107,04/01/2025 15:00,Weekend,Fast Food,Clear,90.9,28,5,15
ORD-100108,22/06/2025 21:00,Weekend,Indian,Clear,48.99,41,5,21
ORD-100109,23/04/2025 21:00,Weekday,Fast Food,Rain,45.31,42,4,21
ORD-100110,10/04/2025 22:00,Weekday,Italian,Clear,53.77,24,5,22
ORD-100111,18/05/2025 21:00,Weekend,Sushi,Clear,100.04,24,4,21
ORD-100112,09/01/2025 20:00,Weekday,Italian,Clear,112.6,26,5,20
ORD-100113,27/04/2025 17:00,Weekend,Italian,Cloudy,34.03,22,5,17
ORD-100114,30/05/2025 21:00,Weekday,Indian,Clear,98.5,28,5,21
ORD-100115,04/02/2025 14:00,Weekday,Indian,Cloudy,84.85,18,4,14
ORD-100116,11/02/2025 18:00,Weekday,Sushi,Cloudy,61.11,28,5,18
ORD-100117,05/05/2025 15:00,Weekday,Fast Food,Rain,67.79,41,4,15
ORD-100118,22/02/2025 17:00,Weekend,Italian,Clear,60.31,28,5,17
ORD-100119,11/02/2025 13:00,Weekday,Indian,Clear,92.85,18,5,13
ORD-100120,07/04/2025 22:00,Weekday,Indian,Rain,30.03,33,5,22
ORD-100121,05/01/2025 20:00,Weekend,Sushi,Clear,101.23,37,5,20
ORD-100122,29/06/2025 17:00,Weekend,Indian,Clear,66.07,24,4,17
ORD-100123,25/04/2025 12:00,Weekday,Healthy/Vegan,Clear,41.44,19,5,12
ORD-100124,15/03/2025 17:00,Weekend,Sushi,Cloudy,31.1,39,5,17
ORD-100125,21/04/2025 17:00,Weekday,Healthy/Vegan,Clear,25.73,30,5,17
ORD-100126,30/04/2025 14:00,Weekday,Sushi,Rain,54.32,38,4,14
ORD-100127,09/02/2025 18:00,Weekend,Italian,Clear,26.89,36,4,18
ORD-100128,26/02/2025 10:00,Weekday,Italian,Clear,56.9,23,5,10
ORD-100129,29/06/2025 18:00,Weekend,Indian,Rain,27,66,3,18
ORD-100130,10/05/2025 16:00,Weekend,Sushi,Clear,111.44,32,4,16
ORD-100131,25/01/2025 16:00,Weekend,Healthy/Vegan,Clear,111.06,41,4,16
ORD-100132,24/04/2025 14:00,Weekday,Fast Food,Clear,115.91,31,5,14
ORD-100133,27/03/2025 21:00,Weekday,Indian,Clear,46.46,27,4,21
ORD-100134,28/06/2025 20:00,Weekend,Italian,Clear,64.16,43,5,20
ORD-100135,01/01/2025 12:00,Weekday,Sushi,Clear,61.28,32,5,12
ORD-100136,28/06/2025 13:00,Weekend,Fast Food,Clear,22.93,31,4,13
ORD-100137,20/04/2025 11:00,Weekend,Healthy/Vegan,Cloudy,117.79,43,5,11
ORD-100138,06/03/2025 18:00,Weekday,Italian,Clear,85.55,22,4,18
ORD-100139,08/03/2025 12:00,Weekend,Fast Food,Clear,90.69,29,5,12
ORD-100140,30/04/2025 20:00,Weekday,Healthy/Vegan,Cloudy,29.81,28,4,20
ORD-100141,25/06/2025 11:00,Weekday,Sushi,Clear,36.83,33,4,11
ORD-100142,27/05/2025 13:00,Weekday,Indian,Clear,108.73,29,5,13
ORD-100143,11/01/2025 19:00,Weekend,Sushi,Clear,18.59,43,4,19
ORD-100144,17/05/2025 11:00,Weekend,Indian,Clear,114.59,38,4,11
ORD-100145,07/06/2025 17:00,Weekend,Italian,Cloudy,98.98,37,4,17
ORD-100146,14/01/2025 18:00,Weekday,Sushi,Rain,42.08,48,5,18
ORD-100147,29/01/2025 22:00,Weekday,Sushi,Clear,16.93,32,5,22
ORD-100148,11/02/2025 13:00,Weekday,Fast Food,Clear,73.19,20,5,13
ORD-100149,28/03/2025 14:00,Weekday,Sushi,Clear,42.69,20,5,14
ORD-100150,08/04/2025 21:00,Weekday,Indian,Rain,33.41,37,5,21
ORD-100151,02/05/2025 11:00,Weekday,Healthy/Vegan,Storm,34.36,30,4,11
ORD-100152,29/05/2025 20:00,Weekday,Italian,Clear,90.5,21,5,20
ORD-100153,23/02/2025 11:00,Weekend,Indian,Clear,43.34,37,4,11
ORD-100154,22/03/2025 20:00,Weekend,Indian,Clear,80.45,25,4,20
ORD-100155,09/02/2025 10:00,Weekend,Fast Food,Clear,87.28,37,4,10
ORD-100156,11/05/2025 11:00,Weekend,Indian,Clear,116.61,26,4,11
ORD-100157,11/04/2025 21:00,Weekday,Italian,Cloudy,29.37,24,5,21
ORD-100158,16/02/2025 21:00,Weekend,Italian,Rain,99.69,44,5,21
ORD-100159,30/03/2025 21:00,Weekend,Italian,Storm,114.13,59,3,21
ORD-100160,26/01/2025 14:00,Weekend,Sushi,Clear,27.65,34,4,14
ORD-100161,13/03/2025 11:00,Weekday,Italian,Cloudy,64.79,34,5,11
ORD-100162,26/05/2025 20:00,Weekday,Sushi,Rain,83.27,38,4,20
ORD-100163,08/04/2025 12:00,Weekday,Indian,Clear,61.31,26,5,12
ORD-100164,30/04/2025 10:00,Weekday,Healthy/Vegan,Rain,48.47,42,5,10
ORD-100165,19/06/2025 21:00,Weekday,Sushi,Clear,106.36,27,5,21
ORD-100166,09/06/2025 12:00,Weekday,Italian,Storm,51.82,53,1,12
ORD-100167,16/01/2025 17:00,Weekday,Healthy/Vegan,Storm,95.67,34,5,17
ORD-100168,26/06/2025 12:00,Weekday,Indian,Clear,45.16,18,5,12
ORD-100169,06/02/2025 18:00,Weekday,Fast Food,Cloudy,19.74,29,4,18
ORD-100170,29/03/2025 13:00,Weekend,Healthy/Vegan,Storm,98.79,49,5,13
ORD-100171,04/03/2025 17:00,Weekday,Italian,Cloudy,118.86,21,5,17
ORD-100172,28/02/2025 17:00,Weekday,Healthy/Vegan,Cloudy,39.21,33,5,17
ORD-100173,15/03/2025 20:00,Weekend,Sushi,Clear,18.86,29,4,20
ORD-100174,05/01/2025 15:00,Weekend,Fast Food,Clear,77.71,45,5,15
ORD-100175,23/03/2025 10:00,Weekend,Italian,Cloudy,38.57,42,5,10
ORD-100176,22/05/2025 14:00,Weekday,Sushi,Clear,56.07,23,4,14
ORD-100177,17/03/2025 19:00,Weekday,Fast Food,Clear,112.82,25,4,19
ORD-100178,04/05/2025 15:00,Weekend,Italian,Rain,67.07,43,5,15
ORD-100179,24/04/2025 17:00,Weekday,Indian,Clear,77.2,17,4,17
ORD-100180,08/04/2025 17:00,Weekday,Italian,Cloudy,92.06,33,5,17
ORD-100181,02/04/2025 10:00,Weekday,Italian,Cloudy,89.38,25,4,10
ORD-100182,19/06/2025 13:00,Weekday,Italian,Rain,31.65,47,5,13
ORD-100183,31/01/2025 16:00,Weekday,Sushi,Clear,50.19,21,4,16
ORD-100184,10/04/2025 11:00,Weekday,Indian,Clear,15.67,27,5,11
ORD-100185,23/04/2025 18:00,Weekday,Fast Food,Clear,54.55,27,5,18
ORD-100186,11/03/2025 12:00,Weekday,Sushi,Clear,103.21,29,5,12
ORD-100187,22/01/2025 13:00,Weekday,Healthy/Vegan,Rain,22.12,52,1,13
ORD-100188,18/05/2025 15:00,Weekend,Fast Food,Clear,22.84,38,5,15
ORD-100189,24/06/2025 22:00,Weekday,Healthy/Vegan,Rain,28.66,42,4,22
ORD-100190,02/02/2025 15:00,Weekend,Italian,Clear,15.11,22,5,15
ORD-100191,09/04/2025 22:00,Weekday,Fast Food,Clear,98.46,25,4,22
ORD-100192,10/05/2025 13:00,Weekend,Italian,Clear,114.84,38,5,13
ORD-100193,21/01/2025 14:00,Weekday,Italian,Storm,94.81,31,4,14
ORD-100194,27/02/2025 21:00,Weekday,Sushi,Clear,18.27,26,5,21
ORD-100195,27/01/2025 17:00,Weekday,Healthy/Vegan,Clear,106.21,22,5,17
ORD-100196,23/06/2025 11:00,Weekday,Healthy/Vegan,Clear,98.66,26,4,11
ORD-100197,01/03/2025 19:00,Weekend,Italian,Clear,63.52,39,4,19
ORD-100198,25/03/2025 13:00,Weekday,Fast Food,Clear,66.62,16,5,13
ORD-100199,19/05/2025 22:00,Weekday,Fast Food,Clear,22.61,32,5,22
ORD-100200,05/04/2025 15:00,Weekend,Italian,Rain,105.31,50,5,15
ORD-100201,28/06/2025 17:00,Weekend,Fast Food,Clear,118.6,39,5,17
ORD-100202,28/05/2025 10:00,Weekday,Sushi,Rain,113.83,26,5,10
ORD-100203,07/06/2025 10:00,Weekend,Indian,Clear,56.68,26,5,10
ORD-100204,23/06/2025 19:00,Weekday,Sushi,Cloudy,19.32,26,4,19
ORD-100205,02/03/2025 12:00,Weekend,Italian,Clear,113.3,34,5,12
ORD-100206,08/01/2025 17:00,Weekday,Sushi,Rain,97.26,49,5,17
ORD-100207,25/03/2025 13:00,Weekday,Sushi,Rain,65.49,44,5,13
ORD-100208,12/01/2025 16:00,Weekend,Healthy/Vegan,Clear,106.54,44,5,16
ORD-100209,22/06/2025 17:00,Weekend,Indian,Rain,84.16,60,1,17
ORD-100210,30/05/2025 14:00,Weekday,Fast Food,Clear,23.56,33,5,14
ORD-100211,03/04/2025 15:00,Weekday,Fast Food,Cloudy,33.29,34,5,15
ORD-100212,18/04/2025 13:00,Weekday,Healthy/Vegan,Clear,106.04,23,5,13
ORD-100213,27/04/2025 11:00,Weekend,Healthy/Vegan,Cloudy,109.57,31,4,11
ORD-100214,25/04/2025 19:00,Weekday,Indian,Clear,80.41,22,5,19
ORD-100215,09/04/2025 19:00,Weekday,Healthy/Vegan,Cloudy,33.87,26,4,19
ORD-100216,02/01/2025 16:00,Weekday,Indian,Cloudy,66.69,29,5,16
ORD-100217,25/03/2025 11:00,Weekday,Fast Food,Clear,116.79,16,5,11
ORD-100218,05/01/2025 10:00,Weekend,Healthy/Vegan,Clear,116.83,43,4,10
ORD-100219,14/01/2025 19:00,Weekday,Indian,Clear,102.03,15,5,19
ORD-100220,08/01/2025 20:00,Weekday,Healthy/Vegan,Rain,32.54,55,1,20
ORD-100221,14/06/2025 14:00,Weekend,Healthy/Vegan,Clear,103.64,38,5,14
ORD-100222,14/05/2025 21:00,Weekday,Italian,Clear,43.32,16,4,21
ORD-100223,06/02/2025 13:00,Weekday,Sushi,Clear,27.82,20,4,13
ORD-100224,28/02/2025 14:00,Weekday,Fast Food,Clear,19.37,24,4,14
ORD-100225,12/02/2025 11:00,Weekday,Fast Food,Rain,106.13,49,5,11
ORD-100226,21/06/2025 15:00,Weekend,Healthy/Vegan,Clear,28.94,40,4,15
ORD-100227,29/04/2025 17:00,Weekday,Sushi,Clear,91.74,20,5,17
ORD-100228,27/03/2025 11:00,Weekday,Fast Food,Cloudy,114.18,24,4,11
ORD-100229,25/05/2025 19:00,Weekend,Fast Food,Clear,112.75,36,5,19
ORD-100230,27/05/2025 14:00,Weekday,Indian,Clear,51.6,16,5,14
ORD-100231,04/03/2025 18:00,Weekday,Fast Food,Clear,106.43,23,4,18
ORD-100232,08/06/2025 18:00,Weekend,Italian,Cloudy,57.43,36,5,18
ORD-100233,23/03/2025 22:00,Weekend,Fast Food,Clear,106.23,27,4,22
ORD-100234,30/03/2025 14:00,Weekend,Fast Food,Clear,56.6,46,5,14
ORD-100235,04/02/2025 21:00,Weekday,Sushi,Clear,32.69,28,5,21
ORD-100236,23/06/2025 18:00,Weekday,Italian,Clear,114.91,16,5,18
ORD-100237,27/04/2025 22:00,Weekend,Sushi,Clear,30.64,39,4,22
ORD-100238,15/01/2025 20:00,Weekday,Sushi,Rain,69.73,41,5,20
ORD-100239,27/04/2025 21:00,Weekend,Fast Food,Rain,54.91,42,4,21
ORD-100240,19/03/2025 22:00,Weekday,Healthy/Vegan,Clear,44.91,29,5,22
ORD-100241,16/05/2025 19:00,Weekday,Healthy/Vegan,Rain,56.99,40,5,19
ORD-100242,04/04/2025 20:00,Weekday,Healthy/Vegan,Clear,70.14,21,4,20
ORD-100243,19/06/2025 22:00,Weekday,Sushi,Cloudy,59.58,21,5,22
ORD-100244,21/06/2025 17:00,Weekend,Indian,Rain,114.9,55,2,17
ORD-100245,02/05/2025 18:00,Weekday,Indian,Cloudy,95.84,31,4,18
ORD-100246,06/02/2025 13:00,Weekday,Sushi,Rain,104.37,40,5,13
ORD-100247,27/05/2025 13:00,Weekday,Sushi,Clear,76.59,29,4,13
ORD-100248,18/04/2025 11:00,Weekday,Fast Food,Clear,25.05,30,4,11
ORD-100249,12/06/2025 21:00,Weekday,Italian,Clear,56.05,16,4,21
ORD-100250,07/01/2025 14:00,Weekday,Sushi,Clear,59.96,21,5,14
ORD-100251,24/01/2025 21:00,Weekday,Italian,Rain,50.41,43,4,21
ORD-100252,07/04/2025 13:00,Weekday,Italian,Clear,53.53,20,4,13
ORD-100253,13/01/2025 10:00,Weekday,Healthy/Vegan,Clear,99.04,22,5,10
ORD-100254,19/02/2025 12:00,Weekday,Healthy/Vegan,Clear,49.97,20,4,12
ORD-100255,21/06/2025 11:00,Weekend,Fast Food,Storm,61.87,61,2,11
ORD-100256,05/02/2025 14:00,Weekday,Indian,Rain,94.26,49,4,14
ORD-100257,01/05/2025 16:00,Weekday,Healthy/Vegan,Clear,84.82,34,5,16
ORD-100258,30/01/2025 22:00,Weekday,Healthy/Vegan,Storm,17.1,51,2,22
ORD-100259,06/03/2025 18:00,Weekday,Indian,Clear,41.99,22,5,18
ORD-100260,10/06/2025 14:00,Weekday,Healthy/Vegan,Rain,89.42,41,4,14
ORD-100261,24/04/2025 22:00,Weekday,Sushi,Clear,51.36,23,5,22
ORD-100262,08/03/2025 13:00,Weekend,Sushi,Rain,69.15,42,5,13
ORD-100263,12/01/2025 10:00,Weekend,Sushi,Clear,80.93,34,4,10
ORD-100264,07/01/2025 13:00,Weekday,Fast Food,Clear,17.4,16,4,13
ORD-100265,20/01/2025 11:00,Weekday,Sushi,Cloudy,28.92,15,5,11
ORD-100266,14/01/2025 10:00,Weekday,Indian,Clear,115.04,20,4,10
ORD-100267,27/04/2025 11:00,Weekend,Indian,Clear,29.19,26,5,11
ORD-100268,01/03/2025 15:00,Weekend,Indian,Clear,78.27,40,5,15
ORD-100269,11/06/2025 19:00,Weekday,Fast Food,Clear,119.46,29,5,19
ORD-100270,24/03/2025 18:00,Weekday,Italian,Clear,97.18,28,4,18
ORD-100271,21/03/2025 21:00,Weekday,Fast Food,Clear,119.65,31,4,21
ORD-100272,04/05/2025 13:00,Weekend,Indian,Rain,70.34,41,5,13
ORD-100273,03/03/2025 22:00,Weekday,Italian,Clear,58.48,28,4,22
ORD-100274,27/03/2025 14:00,Weekday,Sushi,Clear,58.95,20,4,14
ORD-100275,18/05/2025 16:00,Weekend,Sushi,Clear,79.99,36,5,16
ORD-100276,23/03/2025 14:00,Weekend,Indian,Clear,54,40,5,14
ORD-100277,27/04/2025 19:00,Weekend,Healthy/Vegan,Cloudy,40.57,44,5,19
ORD-100278,29/06/2025 22:00,Weekend,Sushi,Rain,108.67,45,4,22
ORD-100279,09/05/2025 11:00,Weekday,Healthy/Vegan,Clear,44.33,32,4,11
ORD-100280,21/01/2025 21:00,Weekday,Italian,Clear,55.57,22,4,21
ORD-100281,25/05/2025 21:00,Weekend,Indian,Clear,92.43,26,5,21
ORD-100282,18/03/2025 17:00,Weekday,Fast Food,Rain,84.2,50,4,17
ORD-100283,17/01/2025 14:00,Weekday,Healthy/Vegan,Rain,52.09,41,4,14
ORD-100284,23/05/2025 12:00,Weekday,Italian,Clear,33.28,19,5,12
ORD-100285,06/04/2025 17:00,Weekend,Sushi,Clear,23.63,43,5,17
ORD-100286,02/06/2025 18:00,Weekday,Sushi,Rain,16.09,41,4,18
ORD-100287,15/04/2025 18:00,Weekday,Fast Food,Clear,19.4,32,4,18
ORD-100288,13/06/2025 21:00,Weekday,Italian,Storm,78.2,51,1,21
ORD-100289,10/01/2025 10:00,Weekday,Sushi,Clear,54.08,28,5,10
ORD-100290,24/04/2025 15:00,Weekday,Healthy/Vegan,Clear,27.76,33,5,15
ORD-100291,30/04/2025 14:00,Weekday,Italian,Rain,48.28,31,4,14
ORD-100292,24/06/2025 11:00,Weekday,Indian,Rain,63.36,45,5,11
ORD-100293,15/05/2025 16:00,Weekday,Healthy/Vegan,Clear,48.61,25,4,16
ORD-100294,02/04/2025 22:00,Weekday,Indian,Clear,28.83,29,4,22
ORD-100295,19/02/2025 12:00,Weekday,Healthy/Vegan,Rain,71.93,32,5,12
ORD-100296,28/04/2025 12:00,Weekday,Indian,Clear,75.6,19,4,12
ORD-100297,16/04/2025 19:00,Weekday,Fast Food,Rain,107.55,35,4,19
ORD-100298,05/03/2025 19:00,Weekday,Sushi,Clear,73.28,28,5,19
ORD-100299,04/06/2025 11:00,Weekday,Fast Food,Clear,71.56,18,4,11
ORD-100300,31/03/2025 19:00,Weekday,Healthy/Vegan,Rain,36.26,30,4,19
ORD-100301,16/03/2025 12:00,Weekend,Italian,Storm,53.67,45,5,12
ORD-100302,03/06/2025 14:00,Weekday,Indian,Clear,33.73,24,5,14
ORD-100303,04/01/2025 21:00,Weekend,Fast Food,Clear,57.24,29,5,21
ORD-100304,03/01/2025 17:00,Weekday,Indian,Clear,73.96,18,4,17
ORD-100305,24/01/2025 11:00,Weekday,Sushi,Rain,17.41,43,5,11
ORD-100306,30/05/2025 17:00,Weekday,Indian,Rain,118.11,30,5,17
ORD-100307,04/04/2025 16:00,Weekday,Fast Food,Clear,24.3,34,4,16
ORD-100308,16/02/2025 20:00,Weekend,Fast Food,Cloudy,82.47,41,5,20
ORD-100309,16/02/2025 20:00,Weekend,Healthy/Vegan,Clear,75.05,39,4,20
ORD-100310,02/03/2025 19:00,Weekend,Sushi,Clear,88.53,37,5,19
ORD-100311,19/04/2025 12:00,Weekend,Indian,Clear,104.54,42,5,12
ORD-100312,14/06/2025 13:00,Weekend,Fast Food,Clear,113.42,28,5,13
ORD-100313,06/05/2025 16:00,Weekday,Sushi,Cloudy,96.92,18,5,16
ORD-100314,23/06/2025 21:00,Weekday,Healthy/Vegan,Clear,93.89,18,4,21
ORD-100315,01/06/2025 21:00,Weekend,Sushi,Clear,42.48,28,5,21
ORD-100316,30/04/2025 19:00,Weekday,Sushi,Cloudy,43.15,23,5,19
ORD-100317,17/04/2025 13:00,Weekday,Sushi,Cloudy,29.62,18,4,13
ORD-100318,07/01/2025 15:00,Weekday,Sushi,Rain,72.57,45,4,15
ORD-100319,03/06/2025 21:00,Weekday,Fast Food,Clear,117.85,19,5,21
ORD-100320,14/06/2025 17:00,Weekend,Fast Food,Clear,117.06,39,4,17
ORD-100321,10/06/2025 11:00,Weekday,Indian,Clear,41.35,21,5,11
